step,test_acc
1500,0.3834
2000,0.4284
2500,0.435
3000,0.4442
3500,0.4374
4000,0.4424
4500,0.4636
5500,0.4517
6000,0.4641
6500,0.4834
7000,0.4936
7500,0.4935
8000,0.4812
8500,0.482
9000,0.4735
9500,0.4794
10000,0.4869
10500,0.4982
11000,0.4991
11500,0.4901
12000,0.5006
12500,0.4954
13000,0.501
13500,0.4996
14000,0.4935
14500,0.4995
15000,0.5051
15500,0.5045
16000,0.5015
16500,0.5046
17000,0.5046
17500,0.5063
18000,0.5067
18500,0.5042
19000,0.5004
19500,0.5047
20000,0.508
20500,0.5005
21000,0.5073
21500,0.5084
22000,0.5038
22500,0.5027
23000,0.5012
23500,0.5105
24000,0.5118
24500,0.514
25000,0.5095
25500,0.5012
26000,0.5144
26500,0.5068
27000,0.5031
27500,0.5098
28000,0.5153
28500,0.5098
29000,0.52
29500,0.5222
30000,0.5122
31000,0.5091
31500,0.5086
32000,0.5113
32500,0.5123
33000,0.5178
33500,0.5158
34000,0.5178
34500,0.5179
35000,0.509
35500,0.5145
36000,0.5086
36500,0.5108
37000,0.5086
37500,0.5084
38000,0.5034
38500,0.5152
39000,0.5062
39500,0.5129
40000,0.505
40500,0.5094
41000,0.5158
41500,0.5171
42000,0.5004
42500,0.5069
43000,0.5126
43500,0.5136
44000,0.5176
44500,0.5132
