step,test_acc
500,0.984174679487
1000,0.989282852564
1500,0.990484775641
2000,0.991887019231
2500,0.993389423077
3000,0.993689903846
3500,0.994090544872
4000,0.994290865385
4500,0.993790064103
5000,0.994090544872
5500,0.994090544872
6000,0.99358974359
6500,0.993990384615
7500,0.992487980769
8000,0.993689903846
8500,0.993389423077
9000,0.993790064103
9500,0.993689903846
10000,0.992988782051
10500,0.994290865385
11000,0.994391025641
11500,0.99358974359
12000,0.993990384615
12500,0.993990384615
13000,0.994090544872
